class_id,correct_predictions,total_samples,class_accuracy
0,60,60,1.0
8,450,450,1.0
6,150,150,1.0
28,150,150,1.0
29,90,90,1.0
33,210,210,1.0
23,150,150,1.0
19,60,60,1.0
20,90,90,1.0
16,150,150,1.0
14,270,270,1.0
32,60,60,1.0
34,120,120,1.0
41,60,60,1.0
13,719,720,0.9986111111111111
1,719,720,0.9986111111111111
7,449,450,0.9977777777777778
2,747,750,0.996
9,478,480,0.9958333333333333
10,657,660,0.9954545454545455
31,268,270,0.9925925925925926
25,476,480,0.9916666666666667
38,683,690,0.9898550724637681
35,386,390,0.9897435897435898
26,178,180,0.9888888888888889
40,89,90,0.9888888888888889
15,207,210,0.9857142857142858
3,443,450,0.9844444444444445
5,620,630,0.9841269841269841
37,59,60,0.9833333333333333
4,647,660,0.9803030303030303
24,88,90,0.9777777777777777
36,116,120,0.9666666666666667
12,640,690,0.927536231884058
11,386,420,0.919047619047619
18,357,390,0.9153846153846154
17,316,360,0.8777777777777778
30,121,150,0.8066666666666666
42,69,90,0.7666666666666667
22,91,120,0.7583333333333333
39,67,90,0.7444444444444445
27,41,60,0.6833333333333333
21,60,90,0.6666666666666666
