true_class_name,predicted_class_name,error_count
5,2,51
1,2,50
2,5,42
3,2,31
3,5,29
11,28,25
2,1,25
3,1,23
1,5,22
26,25,20
5,8,19
10,5,19
7,8,18
8,5,17
28,11,16
5,3,16
7,5,15
8,7,15
30,25,14
30,28,14
5,0,14
5,7,13
21,31,13
23,31,12
9,10,11
4,8,11
25,24,11
5,1,11
42,6,10
2,4,10
7,1,10
4,2,10
8,2,9
18,25,9
5,4,9
23,30,9
30,11,8
22,25,8
1,3,8
4,5,8
41,9,8
6,4,8
8,4,8
0,1,8
11,25,7
25,23,7
11,23,7
17,9,7
18,26,7
35,1,6
26,1,6
38,7,6
0,8,6
1,8,6
4,33,6
4,9,6
6,42,6
2,3,6
6,5,6
5,39,6
8,12,6
5,10,6
1,25,6
18,3,5
4,7,5
30,23,5
9,2,5
8,15,5
25,1,5
14,1,5
11,30,5
38,1,5
23,3,5
42,32,5
10,8,5
7,4,5
18,0,5
38,5,5
4,1,4
2,14,4
2,10,4
28,26,4
1,10,4
7,10,4
10,1,4
1,9,4
8,1,4
38,2,4
30,5,4
7,33,4
28,25,4
22,11,4
3,7,4
11,24,4
1,7,4
17,2,4
6,3,4
2,30,4
5,13,4
41,3,4
31,8,4
26,18,4
25,26,4
8,38,3
8,34,3
2,9,3
20,11,3
30,18,3
20,25,3
30,19,3
4,11,3
21,19,3
15,2,3
2,41,3
14,5,3
42,41,3
2,7,3
29,31,3
14,2,3
21,1,3
29,26,3
3,38,3
1,32,3
1,39,3
11,29,3
12,5,3
15,1,3
1,40,3
6,36,3
11,10,3
11,1,3
11,38,3
0,4,3
30,31,3
26,5,3
5,30,3
7,36,3
38,4,3
24,28,3
7,3,3
11,18,3
27,26,3
11,8,3
32,3,3
24,11,3
25,30,3
35,21,3
5,9,3
25,11,3
11,9,3
5,6,3
5,32,3
5,16,3
30,20,3
31,5,2
11,26,2
5,40,2
30,26,2
5,17,2
31,11,2
31,20,2
25,4,2
35,25,2
23,8,2
3,14,2
25,2,2
34,2,2
11,6,2
25,17,2
23,29,2
26,11,2
22,40,2
30,38,2
28,29,2
30,35,2
29,22,2
29,25,2
36,38,2
28,20,2
38,26,2
37,3,2
37,19,2
28,8,2
29,1,2
3,33,2
21,8,2
18,23,2
22,32,2
2,6,2
21,11,2
3,8,2
3,9,2
30,10,2
2,35,2
2,33,2
36,1,2
15,7,2
16,10,2
26,19,2
41,32,2
13,2,2
30,12,2
4,3,2
1,16,2
1,19,2
8,33,2
40,2,2
14,7,2
9,17,2
4,14,2
2,25,2
10,2,2
1,38,2
2,22,2
2,0,2
10,7,2
2,29,2
2,28,2
18,35,2
1,26,2
1,14,2
0,3,2
2,11,2
5,31,2
16,3,2
1,0,2
16,5,2
8,40,2
7,2,2
5,20,2
5,37,2
17,1,2
5,34,2
0,2,2
5,33,2
5,11,2
2,38,2
1,28,1
1,11,1
7,16,1
7,25,1
7,27,1
7,31,1
8,6,1
9,23,1
1,15,1
8,36,1
8,39,1
8,42,1
8,13,1
8,22,1
8,10,1
8,11,1
10,12,1
10,16,1
10,18,1
10,24,1
10,3,1
1,4,1
1,42,1
1,29,1
1,31,1
1,34,1
1,35,1
1,36,1
1,37,1
1,18,1
26,20,1
30,16,1
30,22,1
3,4,1
3,42,1
3,6,1
3,22,1
3,26,1
3,27,1
3,28,1
3,32,1
3,36,1
3,0,1
23,38,1
28,9,1
29,14,1
29,18,1
29,24,1
28,14,1
28,23,1
28,3,1
26,28,1
26,38,1
26,4,1
26,8,1
27,25,1
27,4,1
25,6,1
26,10,1
3,12,1
3,13,1
34,11,1
35,13,1
35,15,1
35,26,1
32,23,1
33,14,1
33,16,1
33,18,1
33,7,1
33,9,1
34,1,1
30,9,1
31,10,1
31,23,1
32,13,1
30,29,1
2,39,1
2,40,1
25,20,1
25,29,1
25,3,1
24,32,1
25,0,1
25,13,1
25,19,1
23,5,1
24,18,1
24,20,1
24,21,1
24,26,1
22,6,1
23,11,1
38,33,1
38,34,1
38,40,1
38,8,1
38,11,1
38,12,1
38,17,1
38,18,1
38,27,1
38,31,1
36,4,1
37,0,1
37,1,1
37,35,1
35,27,1
35,28,1
35,33,1
35,36,1
18,17,1
18,21,1
18,22,1
22,20,1
22,28,1
22,30,1
22,38,1
20,33,1
20,36,1
21,28,1
20,22,1
20,23,1
2,37,1
35,41,1
35,8,1
36,21,1
40,34,1
40,37,1
40,5,1
41,2,1
41,22,1
4,42,1
4,6,1
40,18,1
4,29,1
4,32,1
4,35,1
4,36,1
4,38,1
4,39,1
4,12,1
4,13,1
12,4,1
13,1,1
13,18,1
2,17,1
2,18,1
2,26,1
18,7,1
18,8,1
2,12,1
18,36,1
18,4,1
18,40,1
18,5,1
18,1,1
18,10,1
18,11,1
4,16,1
4,23,1
4,25,1
5,26,1
5,36,1
5,18,1
5,19,1
5,22,1
5,23,1
5,24,1
5,25,1
5,15,1
42,18,1
42,19,1
42,21,1
42,26,1
10,9,1
17,10,1
17,16,1
17,23,1
14,8,1
15,13,1
15,5,1
13,25,1
13,7,1
13,8,1
14,30,1
12,1,1
12,11,1
12,2,1
12,34,1
5,41,1
11,31,1
11,34,1
11,35,1
11,7,1
11,27,1
11,3,1
11,12,1
11,14,1
11,2,1
11,20,1
11,22,1
10,30,1
10,33,1
10,4,1
42,35,1
8,26,1
8,3,1
8,30,1
7,39,1
1,23,1
0,26,1
9,5,1
6,7,1
6,8,1
7,12,1
7,13,1
7,14,1
7,15,1
6,2,1
5,38,1
8,0,1
