true_original_class,predicted_original_class,true_class_name,predicted_class_name,error_count
5,2,Class 5,Class 2,64
1,2,Class 1,Class 2,51
3,1,Class 3,Class 1,49
36,37,Class 36,Class 37,38
4,2,Class 4,Class 2,34
2,1,Class 2,Class 1,34
39,38,Class 39,Class 38,30
3,2,Class 3,Class 2,30
27,25,Class 27,Class 25,29
21,19,Class 21,Class 19,25
8,7,Class 8,Class 7,23
38,39,Class 38,Class 39,21
22,25,Class 22,Class 25,21
20,19,Class 20,Class 19,21
2,3,Class 2,Class 3,20
29,23,Class 29,Class 23,20
8,5,Class 8,Class 5,20
5,8,Class 5,Class 8,19
1,0,Class 1,Class 0,19
5,3,Class 5,Class 3,18
5,1,Class 5,Class 1,18
5,7,Class 5,Class 7,18
37,36,Class 37,Class 36,18
28,25,Class 28,Class 25,17
35,36,Class 35,Class 36,17
30,25,Class 30,Class 25,17
17,9,Class 17,Class 9,16
30,11,Class 30,Class 11,16
5,4,Class 5,Class 4,15
11,25,Class 11,Class 25,15
35,33,Class 35,Class 33,15
22,23,Class 22,Class 23,15
34,33,Class 34,Class 33,13
40,34,Class 40,Class 34,13
18,21,Class 18,Class 21,13
25,23,Class 25,Class 23,13
23,31,Class 23,Class 31,11
21,23,Class 21,Class 23,10
3,5,Class 3,Class 5,10
23,25,Class 23,Class 25,10
26,27,Class 26,Class 27,10
26,25,Class 26,Class 25,10
0,1,Class 0,Class 1,10
8,2,Class 8,Class 2,10
28,29,Class 28,Class 29,9
36,35,Class 36,Class 35,9
2,5,Class 2,Class 5,9
38,40,Class 38,Class 40,9
6,4,Class 6,Class 4,9
21,12,Class 21,Class 12,9
37,33,Class 37,Class 33,8
20,21,Class 20,Class 21,8
24,18,Class 24,Class 18,8
19,20,Class 19,Class 20,8
28,24,Class 28,Class 24,8
33,35,Class 33,Class 35,7
31,25,Class 31,Class 25,7
4,1,Class 4,Class 1,7
18,27,Class 18,Class 27,7
38,36,Class 38,Class 36,7
3,4,Class 3,Class 4,7
18,25,Class 18,Class 25,7
16,10,Class 16,Class 10,6
6,38,Class 6,Class 38,6
24,25,Class 24,Class 25,6
33,34,Class 33,Class 34,6
30,23,Class 30,Class 23,6
1,5,Class 1,Class 5,6
30,29,Class 30,Class 29,6
30,31,Class 30,Class 31,6
35,34,Class 35,Class 34,5
42,36,Class 42,Class 36,5
9,1,Class 9,Class 1,5
6,5,Class 6,Class 5,5
21,13,Class 21,Class 13,5
38,33,Class 38,Class 33,5
3,7,Class 3,Class 7,5
10,34,Class 10,Class 34,4
20,27,Class 20,Class 27,4
38,12,Class 38,Class 12,4
2,4,Class 2,Class 4,4
42,32,Class 42,Class 32,4
35,37,Class 35,Class 37,4
1,4,Class 1,Class 4,4
18,29,Class 18,Class 29,4
18,26,Class 18,Class 26,4
37,39,Class 37,Class 39,4
25,28,Class 25,Class 28,4
19,27,Class 19,Class 27,3
35,40,Class 35,Class 40,3
8,3,Class 8,Class 3,3
7,5,Class 7,Class 5,3
6,39,Class 6,Class 39,3
8,4,Class 8,Class 4,3
0,4,Class 0,Class 4,3
42,33,Class 42,Class 33,3
27,11,Class 27,Class 11,3
21,11,Class 21,Class 11,3
23,16,Class 23,Class 16,3
28,11,Class 28,Class 11,3
38,13,Class 38,Class 13,3
36,38,Class 36,Class 38,3
19,31,Class 19,Class 31,3
17,14,Class 17,Class 14,3
42,41,Class 42,Class 41,3
29,25,Class 29,Class 25,2
17,2,Class 17,Class 2,2
18,31,Class 18,Class 31,2
4,3,Class 4,Class 3,2
42,38,Class 42,Class 38,2
7,3,Class 7,Class 3,2
7,2,Class 7,Class 2,2
6,33,Class 6,Class 33,2
33,37,Class 33,Class 37,2
31,23,Class 31,Class 23,2
1,25,Class 1,Class 25,2
1,33,Class 1,Class 33,2
2,7,Class 2,Class 7,2
