stage,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate,epoch_time_seconds,global_epoch
Feature extraction,1,1.0885957800440729,0.6573468932317403,0.7803867037154618,0.7464932415200204,0.001,1753.2765748500824,1
Feature extraction,2,0.6527633368465402,0.779481620811681,0.6275707851664026,0.7913797500637593,0.001,2445.1470391750336,2
Feature extraction,3,0.5516072095607204,0.8145184429495967,0.5202306122598646,0.8269574088242795,0.001,3099.654512166977,3
Feature extraction,4,0.4867221928305624,0.8351133356712469,0.4809150338188114,0.8365212955878603,0.001,34262.13376092911,4
Feature extraction,5,0.4424321383563729,0.8497784295597284,0.44420658734890006,0.8553940321346595,0.001,2435.951898097992,5
Fine-tuning,1,0.18717320684810201,0.9352823030573533,0.12429225260476864,0.9588115276715123,0.0001,6000.972774982452,6
Fine-tuning,2,0.10296960975107222,0.9654095068065164,0.08691648697992181,0.9706707472583525,0.0001,1506.7807488441467,7
Fine-tuning,3,0.07622311140844419,0.9744317276118213,0.07016704640607997,0.9757714868655956,0.0001,1518.5493688583374,8
Fine-tuning,4,0.059733658691552095,0.9795326298339019,0.06288297206056047,0.9794695230808467,0.0001,1454.9052119255066,9
Fine-tuning,5,0.04869833180688175,0.9826569324449262,0.05184481771996787,0.9825299668451926,0.0001,1784.2577629089355,10
