,precision,recall,f1-score,support
Class 0,0.7761194029850746,0.8666666666666667,0.8188976377952756,60.0
Class 1,0.9649122807017544,0.8402777777777778,0.8982925018559763,720.0
Class 2,0.796400449943757,0.944,0.8639414276998169,750.0
Class 3,0.9721518987341772,0.8533333333333334,0.9088757396449705,450.0
Class 4,0.9611360239162929,0.9742424242424242,0.9676448457486831,660.0
Class 5,0.8819018404907976,0.9126984126984127,0.8970358814352574,630.0
Class 6,0.9849624060150376,0.8733333333333333,0.9257950530035335,150.0
Class 7,0.9537444933920705,0.9622222222222222,0.9579646017699114,450.0
Class 8,0.9527186761229315,0.8955555555555555,0.9232531500572738,450.0
Class 9,0.9854469854469855,0.9875,0.9864724245577523,480.0
Class 10,0.983433734939759,0.9893939393939394,0.9864048338368581,660.0
Class 11,0.9490740740740741,0.9761904761904762,0.9624413145539906,420.0
Class 12,0.9841954022988506,0.9927536231884058,0.9884559884559885,690.0
Class 13,0.9916782246879334,0.9930555555555556,0.9923664122137404,720.0
Class 14,1.0,0.9962962962962963,0.9981447124304267,270.0
Class 15,0.9904761904761905,0.9904761904761905,0.9904761904761905,210.0
Class 16,0.9931506849315068,0.9666666666666667,0.9797297297297298,150.0
Class 17,0.9972222222222222,0.9972222222222222,0.9972222222222222,360.0
Class 18,0.9833795013850416,0.9102564102564102,0.9454061251664447,390.0
Class 19,0.8108108108108109,1.0,0.8955223880597014,60.0
Class 20,0.6666666666666666,0.9333333333333333,0.7777777777777778,90.0
Class 21,0.8404255319148937,0.8777777777777778,0.858695652173913,90.0
Class 22,0.9690721649484536,0.7833333333333333,0.8663594470046082,120.0
Class 23,0.852112676056338,0.8066666666666666,0.8287671232876712,150.0
Class 24,0.945054945054945,0.9555555555555556,0.9502762430939227,90.0
Class 25,0.9222903885480572,0.9395833333333333,0.9308565531475748,480.0
Class 26,0.9080459770114943,0.8777777777777778,0.8926553672316384,180.0
Class 27,0.5955056179775281,0.8833333333333333,0.7114093959731543,60.0
Class 28,0.8918918918918919,0.88,0.8859060402684563,150.0
Class 29,0.9863013698630136,0.8,0.8834355828220859,90.0
Class 30,0.9591836734693877,0.6266666666666667,0.7580645161290323,150.0
Class 31,0.8655737704918033,0.9777777777777777,0.9182608695652174,270.0
Class 32,0.967741935483871,1.0,0.9836065573770492,60.0
Class 33,0.9898477157360406,0.9285714285714286,0.9582309582309582,210.0
Class 34,0.8368794326241135,0.9833333333333333,0.9042145593869731,120.0
Class 35,0.9839142091152815,0.941025641025641,0.9619921363040629,390.0
Class 36,0.9052631578947369,0.7166666666666667,0.8,120.0
Class 37,0.7846153846153846,0.85,0.816,60.0
Class 38,0.9840579710144928,0.9840579710144928,0.9840579710144928,690.0
Class 39,0.8,0.9777777777777777,0.8800000000000001,90.0
Class 40,0.8484848484848485,0.9333333333333333,0.888888888888889,90.0
Class 41,0.7532467532467533,0.9666666666666667,0.8467153284671532,60.0
Class 42,0.9027777777777778,0.7222222222222222,0.802469135802469,90.0
accuracy,0.9347585114806017,0.9347585114806017,0.9347585114806017,0.9347585114806017
macro avg,0.908648120080536,0.9132000395870464,0.9063484484804847,12630.0
weighted avg,0.9398273546564265,0.9347585114806017,0.9349685960116381,12630.0
