class_index,original_class_id,class_name,support,correct_predictions,accuracy,precision,recall,f1_score
0,0,Class 0,60,52,0.8666666666666667,0.7761194029850746,0.8666666666666667,0.8188976377952756
1,1,Class 1,720,605,0.8402777777777778,0.9649122807017544,0.8402777777777778,0.8982925018559763
2,2,Class 2,750,708,0.944,0.796400449943757,0.944,0.8639414276998169
3,3,Class 3,450,384,0.8533333333333334,0.9721518987341772,0.8533333333333334,0.9088757396449705
4,4,Class 4,660,643,0.9742424242424242,0.9611360239162929,0.9742424242424242,0.9676448457486831
5,5,Class 5,630,575,0.9126984126984127,0.8819018404907976,0.9126984126984127,0.8970358814352574
6,6,Class 6,150,131,0.8733333333333333,0.9849624060150376,0.8733333333333333,0.9257950530035335
7,7,Class 7,450,433,0.9622222222222222,0.9537444933920705,0.9622222222222222,0.9579646017699114
8,8,Class 8,450,403,0.8955555555555555,0.9527186761229315,0.8955555555555555,0.9232531500572738
9,9,Class 9,480,474,0.9875,0.9854469854469855,0.9875,0.9864724245577523
10,10,Class 10,660,653,0.9893939393939394,0.983433734939759,0.9893939393939394,0.9864048338368581
11,11,Class 11,420,410,0.9761904761904762,0.9490740740740741,0.9761904761904762,0.9624413145539906
12,12,Class 12,690,685,0.9927536231884058,0.9841954022988506,0.9927536231884058,0.9884559884559885
13,13,Class 13,720,715,0.9930555555555556,0.9916782246879334,0.9930555555555556,0.9923664122137404
14,14,Class 14,270,269,0.9962962962962963,1.0,0.9962962962962963,0.9981447124304267
15,15,Class 15,210,208,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905
16,16,Class 16,150,145,0.9666666666666667,0.9931506849315068,0.9666666666666667,0.9797297297297298
17,17,Class 17,360,359,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222
18,18,Class 18,390,355,0.9102564102564102,0.9833795013850416,0.9102564102564102,0.9454061251664447
19,19,Class 19,60,60,1.0,0.8108108108108109,1.0,0.8955223880597014
20,20,Class 20,90,84,0.9333333333333333,0.6666666666666666,0.9333333333333333,0.7777777777777778
21,21,Class 21,90,79,0.8777777777777778,0.8404255319148937,0.8777777777777778,0.858695652173913
22,22,Class 22,120,94,0.7833333333333333,0.9690721649484536,0.7833333333333333,0.8663594470046082
23,23,Class 23,150,121,0.8066666666666666,0.852112676056338,0.8066666666666666,0.8287671232876712
24,24,Class 24,90,86,0.9555555555555556,0.945054945054945,0.9555555555555556,0.9502762430939227
25,25,Class 25,480,451,0.9395833333333333,0.9222903885480572,0.9395833333333333,0.9308565531475748
26,26,Class 26,180,158,0.8777777777777778,0.9080459770114943,0.8777777777777778,0.8926553672316384
27,27,Class 27,60,53,0.8833333333333333,0.5955056179775281,0.8833333333333333,0.7114093959731543
28,28,Class 28,150,132,0.88,0.8918918918918919,0.88,0.8859060402684563
29,29,Class 29,90,72,0.8,0.9863013698630136,0.8,0.8834355828220859
30,30,Class 30,150,94,0.6266666666666667,0.9591836734693877,0.6266666666666667,0.7580645161290323
31,31,Class 31,270,264,0.9777777777777777,0.8655737704918033,0.9777777777777777,0.9182608695652174
32,32,Class 32,60,60,1.0,0.967741935483871,1.0,0.9836065573770492
33,33,Class 33,210,195,0.9285714285714286,0.9898477157360406,0.9285714285714286,0.9582309582309582
34,34,Class 34,120,118,0.9833333333333333,0.8368794326241135,0.9833333333333333,0.9042145593869731
35,35,Class 35,390,367,0.941025641025641,0.9839142091152815,0.941025641025641,0.9619921363040629
36,36,Class 36,120,86,0.7166666666666667,0.9052631578947369,0.7166666666666667,0.8
37,37,Class 37,60,51,0.85,0.7846153846153846,0.85,0.816
38,38,Class 38,690,679,0.9840579710144928,0.9840579710144928,0.9840579710144928,0.9840579710144928
39,39,Class 39,90,88,0.9777777777777777,0.8,0.9777777777777777,0.8800000000000001
40,40,Class 40,90,84,0.9333333333333333,0.8484848484848485,0.9333333333333333,0.888888888888889
41,41,Class 41,60,58,0.9666666666666667,0.7532467532467533,0.9666666666666667,0.8467153284671532
42,42,Class 42,90,65,0.7222222222222222,0.9027777777777778,0.7222222222222222,0.802469135802469
