stage,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_seconds,global_epoch
Stage 1: Feature Extraction,1,1.7939119979482183,0.481110721458858,1.103120591788838,0.6708747768426422,0.001,1294.2239530086517,1
Stage 1: Feature Extraction,2,1.3506417054808029,0.5783147894283801,0.9547171904948925,0.6976536597806682,0.001,1170.4683549404144,2
Stage 1: Feature Extraction,3,1.3141278414311701,0.5853604106226289,0.8912097429688017,0.7197143585819944,0.001,1291.9975860118866,3
Stage 1: Feature Extraction,4,1.3027164731068412,0.5929161220390856,0.9098636721263459,0.7068349910737057,0.001,1428.5676782131195,4
Stage 1: Feature Extraction,5,1.2709793364020778,0.5985908757611502,0.9106377795532449,0.7138485080336648,0.001,6973.639328956604,5
Stage 2: Fine-Tuning,1,0.6658109725638025,0.778684604839481,0.24034858708766552,0.9265493496557001,0.0001,5738.139699935913,6
Stage 2: Fine-Tuning,2,0.3297137137886398,0.8911276181974687,0.13899504408160512,0.9570262688089773,0.0001,1451.6200098991394,7
Stage 2: Fine-Tuning,3,0.21402639343564533,0.9296394299741767,0.09124389402468581,0.9727110431012497,0.0001,3179.8141350746155,8
Stage 2: Fine-Tuning,4,0.15375824235946203,0.9506168903624829,0.07280154254057561,0.9757714868655956,0.0001,1878.481094121933,9
Stage 2: Fine-Tuning,5,0.11868187577770722,0.9621576816399401,0.05508194797100142,0.9830400408059169,0.0001,1919.9709792137146,10
