class_id,class_name,HOG + Linear SVM,support,Custom CNN,ResNet18,MobileNetV3-Large,mean_recall,recall_standard_deviation,best_model_recall,worst_model_recall,recall_range,best_model,worst_model
0,0,0.6333333333333333,60,1.0,0.8666666666666667,0.7833333333333333,0.8208333333333333,0.15358373274198986,1.0,0.6333333333333333,0.3666666666666667,Custom CNN,HOG + Linear SVM
1,1,0.8083333333333333,720,0.9986111111111112,0.8402777777777778,0.8791666666666667,0.8815972222222221,0.08321268272230879,0.9986111111111112,0.8083333333333333,0.19027777777777788,Custom CNN,HOG + Linear SVM
2,2,0.8253333333333334,750,0.996,0.944,0.9053333333333332,0.9176666666666666,0.0718960154461778,0.996,0.8253333333333334,0.17066666666666663,Custom CNN,HOG + Linear SVM
3,3,0.7555555555555555,450,0.9844444444444445,0.8533333333333334,0.7666666666666667,0.84,0.10575225337859333,0.9844444444444445,0.7555555555555555,0.22888888888888892,Custom CNN,HOG + Linear SVM
4,4,0.8939393939393939,660,0.9803030303030305,0.9742424242424242,0.9257575757575758,0.9435606060606061,0.04111201076125804,0.9803030303030305,0.8939393939393939,0.08636363636363653,Custom CNN,HOG + Linear SVM
5,5,0.6968253968253968,630,0.984126984126984,0.9126984126984128,0.7571428571428571,0.8376984126984126,0.13341755339613975,0.984126984126984,0.6968253968253968,0.28730158730158717,Custom CNN,HOG + Linear SVM
6,6,0.8,150,1.0,0.8733333333333333,0.7866666666666666,0.865,0.09773357586751777,1.0,0.7866666666666666,0.21333333333333337,Custom CNN,MobileNetV3-Large
7,7,0.8377777777777777,450,0.9977777777777778,0.9622222222222222,0.9733333333333334,0.9427777777777777,0.07155820100929904,0.9977777777777778,0.8377777777777777,0.16000000000000003,Custom CNN,HOG + Linear SVM
8,8,0.8088888888888889,450,1.0,0.8955555555555555,0.8666666666666667,0.8927777777777778,0.08004885339616771,1.0,0.8088888888888889,0.19111111111111112,Custom CNN,HOG + Linear SVM
9,9,0.9583333333333334,480,0.9958333333333332,0.9875,0.9833333333333332,0.98125,0.016137430609197524,0.9958333333333332,0.9583333333333334,0.03749999999999987,Custom CNN,HOG + Linear SVM
10,10,0.937878787878788,660,0.9954545454545456,0.9893939393939394,0.987878787878788,0.9776515151515153,0.02671640792477192,0.9954545454545456,0.937878787878788,0.05757575757575761,Custom CNN,HOG + Linear SVM
11,11,0.8,420,0.919047619047619,0.9761904761904762,0.95,0.9113095238095239,0.07779498513897919,0.9761904761904762,0.8,0.17619047619047612,ResNet18,HOG + Linear SVM
12,12,0.9884057971014492,690,0.927536231884058,0.9927536231884058,0.989855072463768,0.9746376811594202,0.031452948426392284,0.9927536231884058,0.927536231884058,0.06521739130434778,ResNet18,Custom CNN
13,13,0.9902777777777778,720,0.9986111111111112,0.9930555555555556,0.9944444444444444,0.9940972222222222,0.003472222222222254,0.9986111111111112,0.9902777777777778,0.008333333333333415,Custom CNN,HOG + Linear SVM
14,14,0.9444444444444444,270,1.0,0.9962962962962963,0.9962962962962963,0.9842592592592593,0.02660056966224107,1.0,0.9444444444444444,0.05555555555555558,Custom CNN,HOG + Linear SVM
15,15,0.9523809523809524,210,0.9857142857142858,0.9904761904761904,0.9857142857142858,0.9785714285714286,0.017604026200649835,0.9904761904761904,0.9523809523809524,0.03809523809523796,ResNet18,HOG + Linear SVM
16,16,0.96,150,1.0,0.9666666666666668,0.9533333333333334,0.97,0.020727509006864025,1.0,0.9533333333333334,0.046666666666666634,Custom CNN,MobileNetV3-Large
17,17,0.9555555555555556,360,0.8777777777777778,0.9972222222222222,0.9361111111111112,0.9416666666666668,0.04963861168029708,0.9972222222222222,0.8777777777777778,0.11944444444444446,ResNet18,Custom CNN
18,18,0.8923076923076924,390,0.9153846153846154,0.9102564102564102,0.8974358974358975,0.9038461538461539,0.010777367703349099,0.9153846153846154,0.8923076923076924,0.023076923076922995,Custom CNN,HOG + Linear SVM
19,19,1.0,60,1.0,1.0,0.7666666666666667,0.9416666666666667,0.11666666666666663,1.0,0.7666666666666667,0.23333333333333328,HOG + Linear SVM,MobileNetV3-Large
20,20,0.8888888888888888,90,1.0,0.9333333333333332,0.5888888888888889,0.8527777777777777,0.1817552734417032,1.0,0.5888888888888889,0.4111111111111111,Custom CNN,MobileNetV3-Large
21,21,0.7333333333333333,90,0.6666666666666666,0.8777777777777778,0.4,0.6694444444444444,0.20007714561521225,0.8777777777777778,0.4,0.47777777777777775,ResNet18,MobileNetV3-Large
22,22,0.825,120,0.7583333333333333,0.7833333333333333,0.6916666666666667,0.7645833333333334,0.05584991461911971,0.825,0.6916666666666667,0.1333333333333333,HOG + Linear SVM,MobileNetV3-Large
23,23,0.78,150,1.0,0.8066666666666666,0.82,0.8516666666666667,0.10027739304327549,1.0,0.78,0.21999999999999997,Custom CNN,HOG + Linear SVM
24,24,0.8777777777777778,90,0.9777777777777776,0.9555555555555556,0.8444444444444444,0.9138888888888889,0.063098981620003,0.9777777777777776,0.8444444444444444,0.1333333333333332,Custom CNN,MobileNetV3-Large
25,25,0.9041666666666668,480,0.9916666666666668,0.9395833333333332,0.9541666666666668,0.9473958333333334,0.03621945552232026,0.9916666666666668,0.9041666666666668,0.08750000000000002,Custom CNN,HOG + Linear SVM
26,26,0.7611111111111111,180,0.9888888888888888,0.8777777777777778,0.8777777777777778,0.8763888888888889,0.09300371690435114,0.9888888888888888,0.7611111111111111,0.22777777777777775,Custom CNN,HOG + Linear SVM
27,27,0.9166666666666666,60,0.6833333333333333,0.8833333333333333,0.45,0.7333333333333334,0.2151657414559676,0.9166666666666666,0.45,0.4666666666666666,HOG + Linear SVM,MobileNetV3-Large
28,28,0.7733333333333333,150,1.0,0.88,0.7333333333333333,0.8466666666666667,0.11950515253110004,1.0,0.7333333333333333,0.2666666666666667,Custom CNN,MobileNetV3-Large
29,29,0.8333333333333334,90,1.0,0.8,0.7111111111111111,0.8361111111111112,0.12082535094961969,1.0,0.7111111111111111,0.28888888888888886,Custom CNN,MobileNetV3-Large
